TRANSPORT ALL
H 0 145.0 2.05 0.0 0.0 0.0
O 0 80.0 2.75 0.0 0.0 0.0
OH 1 80.0 2.75 0.0 0.0 0.0
! *[dat]
HO2 2 107.4 3.458 0.0 0.0 1.0
H2 1 38.0 2.92 0.0 0.79 280.0
H2O 2 572.4 2.605 1.844 0.0 4.0
H2O2 2 107.4 3.458 0.0 0.0 3.8
O2 1 107.4 3.458 0.0 1.6 3.8
CH 1 80.0 2.75 0.0 0.0 0.0
CH2 1 144.0 3.8 0.0 0.0 0.0
CH2* 1 144.0 3.8 0.0 0.0 0.0
CH3 1 144.0 3.8 0.0 0.0 0.0
CH4 2 141.4 3.746 0.0 2.6 13.0
HCO 2 498.0 3.59 0.0 0.0 0.0
CH2O 2 498.0 3.59 0.0 0.0 2.0
CH3O 2 417.0 3.69 1.7 0.0 2.0
CH2OH 2 417.0 3.69 1.7 0.0 2.0
! SVE[dat]
CH3OH 2 481.8 3.626 0.0 0.0 1.0
CO 1 98.1 3.65 0.0 1.95 1.8
CO2 1 244.0 3.763 0.0 2.65 2.1
C2H 1 209.0 4.1 0.0 0.0 2.5
C2H2 1 209.0 4.1 0.0 0.0 2.5
! *[dat]
C2H3 2 209.0 4.1 0.0 0.0 1.0
C2H4 2 280.8 3.971 0.0 0.0 1.5
C2H5 2 252.3 4.302 0.0 0.0 1.5
C2H6 2 252.3 4.302 0.0 0.0 1.5
! *[dat]
HCCO 2 150.0 2.5 0.0 0.0 1.0
CH2CO 2 436.0 3.97 0.0 0.0 2.0
CH3CO 2 436.0 3.97 0.0 0.0 2.0
CH2CHO 2 436.0 3.97 0.0 0.0 2.0
CH3CHO 2 436.0 3.97 0.0 0.0 2.0
! JAM[dat]
C3H3 2 252.0 4.76 0.0 0.0 1.0
pC3H4 1 252.0 4.76 0.0 0.0 1.0
aC3H4 1 252.0 4.76 0.0 0.0 1.0
aC3H5 2 266.8 4.982 0.0 0.0 1.0
CH3CCH2 2 266.8 4.982 0.0 0.0 1.0
C3H6 2 266.8 4.982 0.0 0.0 1.0
nC3H7 2 266.8 4.982 0.0 0.0 1.0
iC3H7 2 266.8 4.982 0.0 0.0 1.0
C2H3CHO 2 357.0 5.176 0.0 0.0 1.0
C4H2 1 357.0 5.18 0.0 0.0 1.0
! JAM[dat]
iC4H3 2 357.0 5.18 0.0 0.0 1.0
! JAM[dat]
C4H4 2 357.0 5.18 0.0 0.0 1.0
! JAM[dat]
iC4H5 2 357.0 5.18 0.0 0.0 1.0
C4H5-2 2 357.0 5.18 0.0 0.0 1.0
C4H6 2 357.0 5.18 0.0 0.0 1.0
C4H612 2 357.0 5.18 0.0 0.0 1.0
C4H6-2 2 357.0 5.18 0.0 0.0 1.0
C4H7 2 357.0 5.176 0.0 0.0 1.0
C4H81 2 357.0 5.176 0.0 0.0 1.0
pC4H9 2 357.0 5.176 0.0 0.0 1.0
!  n-heptane[dat]
NC7H16 2 564.03 6.004 0.0 0.0 1.0
PXC7H15 2 564.03 6.004 0.0 0.0 1.0
SXC7H15 2 564.03 6.004 0.0 0.0 1.0
!  1-heptene[dat]
C7H14 2 557.947 5.876 0.0 0.0 1.0
C7H13 2 557.947 5.876 0.0 0.0 1.0
PXC6H13 2 512.225 5.742 0.0 0.0 1.0
PXC5H11 2 458.182 5.445 0.0 0.0 1.0
SXC5H11 2 458.182 5.445 0.0 0.0 1.0
!  1-pentene[dat]
C5H10 2 448.508 5.342 0.0 0.0 1.0
C5H9 2 448.508 5.342 0.0 0.0 1.0
S2XC7H15 2 564.03 6.004 0.0 0.0 1.0
S3XC7H15 2 564.03 6.004 0.0 0.0 1.0
S2XC5H11 2 458.182 5.445 0.0 0.0 1.0
N2 1 97.53 3.621 0.0 1.76 4.0
! *[dat]
C 0 71.4 3.298 0.0 0.0 0.0
CH2(S) 1 144.0 3.8 0.0 0.0 0.0
HCCOH 2 436.0 3.97 0.0 0.0 2.0
! *[dat]
N 0 71.4 3.298 0.0 0.0 0.0
NH 1 80.0 2.65 0.0 0.0 4.0
NH2 2 80.0 2.65 0.0 2.26 4.0
NH3 2 481.0 2.92 1.47 0.0 10.0
! *[dat]
NNH 2 71.4 3.798 0.0 0.0 1.0
NO 1 97.53 3.621 0.0 1.76 4.0
! *[dat]
NO2 2 200.0 3.5 0.0 0.0 1.0
! *[dat]
N2O 1 232.4 3.828 0.0 0.0 1.0
! *[dat]
HNO 2 116.7 3.492 0.0 0.0 1.0
! OIS[dat]
CN 1 75.0 3.856 0.0 0.0 1.0
! OIS[dat]
HCN 1 569.0 3.63 0.0 0.0 1.0
! os/jm[dat]
H2CN 1 569.0 3.63 0.0 0.0 1.0
! *[dat]
HCNN 2 150.0 2.5 0.0 0.0 1.0
! JAM[dat]
HCNO 2 232.4 3.828 0.0 0.0 1.0
! JAM[dat]
HOCN 2 232.4 3.828 0.0 0.0 1.0
! OIS[dat]
HNCO 2 232.4 3.828 0.0 0.0 1.0
! OIS[dat]
NCO 1 232.4 3.828 0.0 0.0 1.0
AR 0 136.5 3.33 0.0 0.0 0.0
C3H7 2 266.8 4.982 0.0 0.0 1.0
C3H8 2 266.8 4.982 0.0 0.0 1.0
END

